rho1,rho3,k_mcp,k_pip,k_dip,Tmax_N,status,grip_close_N,final_slip_mm
1.6500016910631263,1.6500016910631263,0.2722502790254159,0.165,0.2722502790254159,36.72857142857143,slip,4.948979252378498,8.011630077577284
1.6500016910631263,2.1528390218014946,0.2722502790254159,0.165,0.3552184385972466,40.99285714285715,slip,10.475000375604038,8.003654488320366
1.6500016910631263,2.808915820446815,0.2722502790254159,0.165,0.4634711103737245,46.114285714285714,slip,16.907198545928694,8.01561519566334
1.6500016910631263,3.6649317512621313,0.2722502790254159,0.165,0.6047137389582516,51.792857142857144,slip,24.292064909364317,8.001296064409042
1.6500016910631263,4.781818181818182,0.2722502790254159,0.165,0.7890000000000001,57.70714285714286,slip,32.20917777471834,8.001309630465528
2.1528390218014946,0.4363636363636363,0.3552184385972466,0.165,0.072,22.90714285714286,slip,10.467683427616727,8.011795966318527
2.1528390218014946,0.5693452734909306,0.3552184385972466,0.165,0.09394197012600354,27.235714285714288,slip,10.503905792600495,8.002439179615354
2.1528390218014946,0.7428530093564767,0.3552184385972466,0.165,0.12257074654381866,29.635714285714286,slip,13.994402571476588,8.007459056563123
2.1528390218014946,0.9692371557358053,0.3552184385972466,0.165,0.15992413069640787,32.80714285714286,slip,2.1209862869600493,8.00506650921453
2.1528390218014946,1.26461177679369,0.3552184385972466,0.165,0.20866094317095885,32.871428571428574,slip,0.0,8.006270597673524
2.1528390218014946,1.6500016910631263,0.3552184385972466,0.165,0.2722502790254159,36.878571428571426,slip,5.061815878476208,8.001176476449935
2.1528390218014946,2.1528390218014946,0.3552184385972466,0.165,0.3552184385972466,41.25,slip,11.22026583896648,8.014165156371742
2.1528390218014946,2.808915820446815,0.3552184385972466,0.165,0.4634711103737245,46.26428571428572,slip,0.0,8.004204988570192
2.1528390218014946,3.6649317512621313,0.3552184385972466,0.165,0.6047137389582516,52.05,slip,16.488277078520444,8.005882206571894
2.1528390218014946,4.781818181818182,0.3552184385972466,0.165,0.7890000000000001,58.392857142857146,slip,35.40793584347489,8.002608382111234
2.808915820446815,0.4363636363636363,0.4634711103737245,0.165,0.072,23.20714285714286,slip,9.750678427220196,8.010047472094037
2.808915820446815,0.5693452734909306,0.4634711103737245,0.165,0.09394197012600354,27.57857142857143,slip,9.790386635876917,8.00100878243264
2.808915820446815,0.7428530093564767,0.4634711103737245,0.165,0.12257074654381866,30.085714285714285,slip,10.138413107894557,8.010291119294182
2.808915820446815,0.9692371557358053,0.4634711103737245,0.165,0.15992413069640787,33.15,slip,0.0,8.001300770235636
2.808915820446815,1.26461177679369,0.4634711103737245,0.165,0.20866094317095885,35.721428571428575,slip,0.0,8.01152594143426
2.808915820446815,1.6500016910631263,0.4634711103737245,0.165,0.2722502790254159,37.73571428571428,slip,2.3445704904748235,8.009166792611193
2.808915820446815,2.1528390218014946,0.4634711103737245,0.165,0.3552184385972466,41.74285714285715,slip,8.126487151827208,8.014734621774908
2.808915820446815,2.808915820446815,0.4634711103737245,0.165,0.4634711103737245,46.47857142857143,slip,15.88356081180302,8.00450302502486
2.808915820446815,3.6649317512621313,0.4634711103737245,0.165,0.6047137389582516,52.32857142857143,slip,23.742087215073816,8.006613416027257
2.808915820446815,4.781818181818182,0.4634711103737245,0.165,0.7890000000000001,58.73571428571429,slip,33.03017761278766,8.005692131038598
3.6649317512621313,0.4363636363636363,0.6047137389582516,0.165,0.072,23.807142857142857,slip,11.676399747499955,8.000930736529982
3.6649317512621313,0.5693452734909306,0.6047137389582516,0.165,0.09394197012600354,27.83571428571429,slip,10.770011288062538,8.003163443010223
3.6649317512621313,0.7428530093564767,0.6047137389582516,0.165,0.12257074654381866,29.978571428571428,slip,16.003397281921707,8.01228740547848
3.6649317512621313,0.9692371557358053,0.6047137389582516,0.165,0.15992413069640787,34.607142857142854,slip,15.778372798564314,8.005172973903942
3.6649317512621313,1.26461177679369,0.6047137389582516,0.165,0.20866094317095885,35.93571428571428,slip,0.0,8.001375657906328
3.6649317512621313,1.6500016910631263,0.6047137389582516,0.165,0.2722502790254159,37.00714285714286,slip,1.253801878904494,8.004782846880353
3.6649317512621313,2.1528390218014946,0.6047137389582516,0.165,0.3552184385972466,41.52857142857143,slip,4.212752561689522,8.003753661097283
3.6649317512621313,2.808915820446815,0.6047137389582516,0.165,0.4634711103737245,46.714285714285715,slip,15.21687681728272,8.0101158056382
3.6649317512621313,3.6649317512621313,0.6047137389582516,0.165,0.6047137389582516,52.5,slip,22.792007121761564,8.00296006450767
3.6649317512621313,4.781818181818182,0.6047137389582516,0.165,0.7890000000000001,59.07857142857143,slip,36.20153462167626,8.005445915954882
4.781818181818182,0.4363636363636363,0.7890000000000001,0.165,0.072,20.057142857142857,slip,19.367515326647,8.004135995082473
4.781818181818182,0.5693452734909306,0.7890000000000001,0.165,0.09394197012600354,28.135714285714286,slip,14.698753747078994,8.00467406384163
4.781818181818182,0.7428530093564767,0.7890000000000001,0.165,0.12257074654381866,30.621428571428574,slip,14.950119416299344,8.006002802486309
4.781818181818182,0.9692371557358053,0.7890000000000001,0.165,0.15992413069640787,34.714285714285715,slip,11.327491458473546,8.012460077259163
4.781818181818182,1.26461177679369,0.7890000000000001,0.165,0.20866094317095885,34.542857142857144,slip,0.3684058633388918,8.002138810456021
4.781818181818182,1.6500016910631263,0.7890000000000001,0.165,0.2722502790254159,37.09285714285714,slip,0.0,8.004778458396814
4.781818181818182,2.1528390218014946,0.7890000000000001,0.165,0.3552184385972466,41.7,slip,5.061576715610273,8.00756890636331
4.781818181818182,2.808915820446815,0.7890000000000001,0.165,0.4634711103737245,47.121428571428574,slip,15.234790909845454,8.009442893791828
4.781818181818182,3.6649317512621313,0.7890000000000001,0.165,0.6047137389582516,52.607142857142854,slip,20.926556320522266,8.005975702903816
4.781818181818182,4.781818181818182,0.7890000000000001,0.165,0.7890000000000001,59.20714285714286,slip,29.58445984523772,8.006657256507427
